PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
May 28 2020,M,4,5,6,9,16,17,18,26,27,28,36,44,47,51,53,54,55,57,63,68
May 27 2020,M,3,4,13,16,17,22,25,26,30,34,36,42,43,44,51,52,53,59,61,68
May 26 2020,M,5,7,9,24,26,27,28,32,39,42,45,46,47,48,51,54,60,65,66,67
May 25 2020,M,2,6,8,9,10,18,23,24,26,31,41,43,48,50,51,56,57,62,63,70
May 24 2020,M,4,9,14,19,22,25,28,32,35,36,37,38,39,40,49,50,52,56,61,66
May 23 2020,M,4,5,9,13,14,18,23,31,34,37,43,51,55,56,60,61,62,65,68,69
May 22 2020,M,2,4,11,13,17,27,28,33,35,43,45,46,48,49,51,55,57,60,61,69
May 21 2020,M,4,6,8,11,13,18,22,23,27,30,35,44,47,49,53,54,57,60,63,65
May 20 2020,M,4,7,12,14,16,23,24,27,32,36,37,44,45,50,51,54,57,59,63,68
May 19 2020,M,1,2,3,7,9,19,21,29,31,40,42,45,46,51,52,53,58,60,61,67
May 18 2020,M,1,2,9,10,13,14,27,31,32,33,34,37,38,45,50,62,63,65,67,70
May 17 2020,M,3,4,5,6,22,25,32,35,37,42,44,45,47,53,55,59,62,63,68,70
May 16 2020,M,4,5,10,14,19,28,29,34,35,40,42,43,44,47,49,53,54,56,57,59
May 15 2020,M,3,5,11,15,16,31,35,36,43,44,48,49,52,53,54,57,59,61,62,69
May 14 2020,M,3,5,8,10,11,15,18,19,30,34,36,38,42,47,50,58,60,65,69,70
May 13 2020,M,3,8,9,15,16,18,19,30,37,38,39,42,45,46,54,55,57,62,64,70
May 12 2020,M,3,7,8,18,22,24,25,27,28,29,31,34,38,42,43,51,53,55,57,60
May 11 2020,M,1,5,6,10,12,18,28,30,32,33,35,38,40,43,44,59,60,61,68,70
May 10 2020,M,2,4,11,19,21,22,26,31,32,36,49,53,54,58,59,61,63,64,67,68
May 09 2020,M,1,10,12,15,19,20,25,26,27,30,36,37,40,46,47,48,53,58,59,64
May 08 2020,M,4,5,7,8,9,14,15,26,29,30,32,35,43,48,53,58,61,63,68,69
May 07 2020,M,6,14,15,17,18,22,25,26,27,29,32,35,36,37,55,57,59,63,68,69
May 06 2020,M,1,6,8,9,11,20,23,24,25,28,29,32,33,35,41,44,47,60,65,68
May 05 2020,M,1,6,15,16,26,28,29,31,39,43,44,45,52,56,57,58,59,64,68,69
May 04 2020,M,7,9,10,12,18,20,21,22,23,29,32,41,42,47,48,52,53,57,64,67
